,Transaction_ID,Date,Product,Quantity,Price,Total_Sales
0,1,2025-04-13,Product_1,8,107.17,857.36
1,2,2025-12-15,Product_46,16,83.06,1328.96
2,3,2025-09-28,Product_16,17,98.1,1667.7
3,4,2025-04-17,Product_46,19,78.91,1499.29
4,5,2025-03-13,Product_3,15,88.43,1326.45
5,6,2025-07-08,Product_35,16,139.47,2231.52
6,7,2025-01-21,Product_41,15,35.87,538.05
7,8,2025-04-13,Product_6,2,148.68,297.36
8,9,2025-05-02,Product_25,11,192.51,2117.61
9,10,2025-08-03,Product_13,1,15.58,15.58
10,11,2025-11-27,Product_34,15,175.74,2636.1
11,12,2025-03-29,Product_8,19,153.59,2918.21
12,13,2025-04-10,Product_21,4,34.82,139.28
13,14,2025-12-26,Product_34,11,167.97,1847.67
14,15,2025-06-01,Product_4,5,166.8,834.0
15,16,2025-05-11,Product_25,3,173.33,519.99
16,17,2025-05-30,Product_15,13,140.83,1830.79
17,18,2025-11-05,Product_4,10,140.06,1400.6
18,19,2025-09-15,Product_45,11,173.52,1908.72
19,20,2025-12-10,Product_12,18,121.92,2194.56
20,21,2025-10-21,Product_32,2,54.32,108.64
21,22,2025-07-11,Product_32,7,50.85,355.95
22,23,2025-10-04,Product_28,9,168.38,1515.42
23,24,2025-06-10,Product_13,10,12.91,129.1
24,25,2025-11-10,Product_31,18,172.92,3112.56
25,26,2025-01-22,Product_14,7,205.85,1440.95
26,27,2025-09-10,Product_20,7,104.74,733.18
27,28,2025-08-24,Product_18,3,99.62,298.86
28,29,2025-12-11,Product_29,12,147.36,1768.32
29,30,2025-02-18,Product_6,7,135.48,948.36
30,31,2025-02-28,Product_32,17,53.54,910.18
31,32,2025-06-19,Product_29,1,126.76,126.76
32,33,2025-07-07,Product_43,5,102.2,511.0
33,34,2025-09-28,Product_2,16,179.57,2873.12
34,35,2025-07-09,Product_23,15,141.24,2118.6
35,36,2025-06-24,Product_19,2,193.38,386.76
36,37,2025-02-20,Product_31,9,179.98,1619.82
37,38,2025-12-30,Product_5,7,176.32,1234.24
38,39,2025-02-24,Product_19,4,190.4,761.6
39,40,2025-09-01,Product_34,20,183.8,3676.0
40,41,2025-11-16,Product_10,18,75.97,1367.46
41,42,2025-05-11,Product_25,4,172.25,689.0
42,43,2025-11-03,Product_2,13,185.83,2415.79
43,44,2025-05-15,Product_11,1,118.73,118.73
44,45,2025-01-21,Product_50,3,130.06,390.18
45,46,2025-11-25,Product_31,16,184.06,2944.96
46,47,2025-06-16,Product_15,4,138.0,552.0
47,48,2025-10-01,Product_9,16,47.63,762.08
48,49,2025-03-30,Product_23,19,129.5,2460.5
49,50,2025-11-12,Product_19,1,186.79,186.79
50,51,2025-01-14,Product_9,5,49.72,248.6
51,52,2025-08-30,Product_35,19,146.96,2792.24
52,53,2025-09-22,Product_21,11,33.45,367.95
53,54,2025-12-12,Product_9,13,52.13,677.69
54,55,2025-02-22,Product_28,20,174.33,3486.6
55,56,2025-12-06,Product_46,5,91.36,456.8
56,57,2025-04-02,Product_7,4,84.85,339.4
57,58,2025-09-21,Product_16,4,102.41,409.64
58,59,2025-02-04,Product_16,4,108.62,434.48
59,60,2025-07-25,Product_33,4,142.46,569.84
60,61,2025-03-22,Product_4,20,155.95,3119.0
61,62,2025-02-19,Product_4,18,143.59,2584.62
62,63,2025-12-26,Product_39,18,179.61,3232.98
63,64,2025-01-02,Product_40,16,52.17,834.72
64,65,2025-02-23,Product_17,9,201.1,1809.9
65,66,2025-04-16,Product_37,18,159.87,2877.66
66,67,2025-09-17,Product_39,2,184.75,369.5
67,68,2025-11-06,Product_29,4,139.51,558.04
68,69,2025-07-10,Product_36,12,144.9,1738.8
69,70,2025-08-06,Product_38,7,91.15,638.05
70,71,2025-02-13,Product_39,15,174.12,2611.8
71,72,2025-06-11,Product_50,7,131.77,922.39
72,73,2025-07-21,Product_37,17,167.03,2839.51
73,74,2025-09-27,Product_35,16,146.9,2350.4
74,75,2025-12-17,Product_7,19,89.13,1693.47
75,76,2025-10-31,Product_27,9,126.99,1142.91
76,77,2025-09-28,Product_28,14,177.62,2486.68
77,78,2025-08-03,Product_22,17,163.02,2771.34
78,79,2025-09-09,Product_14,5,179.15,895.75
79,80,2025-07-09,Product_7,2,88.76,177.52
80,81,2025-10-23,Product_37,20,162.97,3259.4
81,82,2025-08-01,Product_22,16,154.17,2466.72
82,83,2025-07-27,Product_5,14,167.8,2349.2
83,84,2025-08-25,Product_2,14,203.49,2848.86
84,85,2025-12-04,Product_27,1,134.32,134.32
85,86,2025-02-22,Product_21,3,28.94,86.82
86,87,2025-10-07,Product_38,7,103.81,726.67
87,88,2025-08-05,Product_15,15,151.52,2272.8
88,89,2025-09-09,Product_21,19,31.47,597.93
89,90,2025-07-07,Product_10,20,79.22,1584.4
90,91,2025-02-10,Product_23,2,146.96,293.92
91,92,2025-06-06,Product_39,19,185.73,3528.87
92,93,2025-01-15,Product_5,9,184.28,1658.52
93,94,2025-10-28,Product_1,19,110.37,2097.03
94,95,2025-03-06,Product_13,5,13.4,67.0
95,96,2025-12-11,Product_21,18,31.49,566.82
96,97,2025-11-23,Product_26,16,150.1,2401.6
97,98,2025-01-09,Product_50,4,130.82,523.28
98,99,2025-12-10,Product_45,12,178.8,2145.6
99,100,2025-05-09,Product_21,7,33.77,236.39
100,101,2025-05-16,Product_18,14,95.86,1342.04
101,102,2025-03-04,Product_37,12,163.96,1967.52
102,103,2025-05-19,Product_45,3,175.33,525.99
103,104,2025-03-22,Product_32,5,51.42,257.1
104,105,2025-06-12,Product_36,17,133.96,2277.32
105,106,2025-10-16,Product_17,10,187.83,1878.3
106,107,2025-09-18,Product_35,10,155.99,1559.9
107,108,2025-08-19,Product_49,11,86.73,954.03
108,109,2025-02-10,Product_11,17,117.67,2000.39
109,110,2025-01-28,Product_21,5,29.14,145.7
110,111,2025-05-15,Product_26,13,165.35,2149.55
111,112,2025-07-20,Product_4,10,162.82,1628.2
112,113,2025-11-24,Product_34,9,184.84,1663.56
113,114,2025-09-25,Product_48,17,13.71,233.07
114,115,2025-02-02,Product_18,1,99.53,99.53
115,116,2025-02-17,Product_40,4,52.58,210.32
116,117,2025-03-03,Product_35,4,161.87,647.48
117,118,2025-08-04,Product_41,18,36.26,652.68
118,119,2025-10-20,Product_29,9,142.72,1284.48
119,120,2025-04-09,Product_29,18,124.28,2237.04
120,121,2025-06-21,Product_38,14,97.69,1367.66
121,122,2025-12-26,Product_42,15,65.16,977.4
122,123,2025-08-02,Product_21,6,30.47,182.82
123,124,2025-02-04,Product_42,10,61.91,619.1
124,125,2025-08-15,Product_13,15,15.52,232.8
125,126,2025-04-11,Product_49,4,94.73,378.92
126,127,2025-05-11,Product_41,18,36.59,658.62
127,128,2025-09-14,Product_17,18,183.77,3307.86
128,129,2025-01-05,Product_9,17,43.96,747.32
129,130,2025-08-06,Product_41,12,31.33,375.96
130,131,2025-09-12,Product_1,7,114.21,799.47
131,132,2025-12-25,Product_2,16,178.27,2852.32
132,133,2025-10-10,Product_48,11,11.33,124.63
133,134,2025-07-26,Product_29,14,149.41,2091.74
134,135,2025-01-15,Product_33,3,151.79,455.37
135,136,2025-12-12,Product_10,19,69.47,1319.93
136,137,2025-02-11,Product_50,18,123.3,2219.4
137,138,2025-06-28,Product_40,10,48.77,487.7
138,139,2025-03-04,Product_21,6,28.58,171.48
139,140,2025-12-18,Product_28,13,188.05,2444.65
140,141,2025-08-19,Product_11,10,111.93,1119.3
141,142,2025-08-29,Product_34,18,174.03,3132.54
142,143,2025-02-21,Product_8,20,149.83,2996.6
143,144,2025-04-06,Product_22,16,141.93,2270.88
144,145,2025-08-10,Product_8,6,157.42,944.52
145,146,2025-08-19,Product_49,13,91.94,1195.22
146,147,2025-08-25,Product_15,4,147.37,589.48
147,148,2025-05-23,Product_17,14,173.75,2432.5
148,149,2025-06-20,Product_23,1,141.18,141.18
149,150,2025-01-29,Product_24,20,159.05,3181.0
150,151,2025-02-05,Product_45,5,178.14,890.7
151,152,2025-01-13,Product_19,8,191.54,1532.32
152,153,2025-06-09,Product_5,12,171.07,2052.84
153,154,2025-11-23,Product_32,2,53.4,106.8
154,155,2025-07-06,Product_44,12,109.85,1318.2
155,156,2025-08-31,Product_1,5,117.93,589.65
156,157,2025-03-27,Product_23,5,137.41,687.05
157,158,2025-10-11,Product_37,13,152.82,1986.66
158,159,2025-03-07,Product_8,9,164.24,1478.16
159,160,2025-06-19,Product_13,10,14.1,141.0
160,161,2025-02-14,Product_8,1,166.66,166.66
161,162,2025-03-03,Product_23,3,139.1,417.3
162,163,2025-05-14,Product_43,18,120.97,2177.46
163,164,2025-10-11,Product_1,12,126.56,1518.72
164,165,2025-01-28,Product_45,3,161.35,484.05
165,166,2025-04-18,Product_24,9,168.28,1514.52
166,167,2025-02-13,Product_35,2,137.33,274.66
167,168,2025-12-06,Product_24,3,170.2,510.6
168,169,2025-10-13,Product_17,14,192.23,2691.22
169,170,2025-11-27,Product_5,4,159.93,639.72
170,171,2025-05-08,Product_20,19,110.43,2098.17
171,172,2025-12-14,Product_21,13,34.72,451.36
172,173,2025-08-19,Product_40,7,44.47,311.29
173,174,2025-07-09,Product_31,12,180.22,2162.64
174,175,2025-08-13,Product_46,3,91.17,273.51
175,176,2025-10-10,Product_36,9,151.32,1361.88
176,177,2025-05-01,Product_11,2,111.91,223.82
177,178,2025-04-26,Product_15,9,133.94,1205.46
178,179,2025-08-21,Product_19,12,178.32,2139.84
179,180,2025-09-16,Product_7,12,89.66,1075.92
180,181,2025-12-25,Product_28,15,171.26,2568.9
181,182,2025-07-17,Product_43,2,120.96,241.92
182,183,2025-05-17,Product_5,18,160.15,2882.7
183,184,2025-11-14,Product_5,13,182.09,2367.17
184,185,2025-06-14,Product_30,14,79.23,1109.22
185,186,2025-08-13,Product_32,5,48.73,243.65
186,187,2025-11-03,Product_8,10,151.76,1517.6
187,188,2025-08-22,Product_10,12,71.58,858.96
188,189,2025-06-21,Product_38,10,102.01,1020.1
189,190,2025-06-01,Product_47,11,110.4,1214.4
190,191,2025-11-11,Product_32,2,53.61,107.22
191,192,2025-06-09,Product_48,5,13.68,68.4
192,193,2025-04-06,Product_28,7,186.08,1302.56
193,194,2025-08-21,Product_17,6,190.46,1142.76
194,195,2025-06-29,Product_31,3,190.17,570.51
195,196,2025-04-23,Product_8,13,157.55,2048.15
196,197,2025-11-14,Product_40,3,44.55,133.65
197,198,2025-02-21,Product_25,6,199.95,1199.7
198,199,2025-09-25,Product_9,11,44.75,492.25
199,200,2025-10-22,Product_2,17,201.1,3418.7
200,201,2025-04-23,Product_15,10,148.13,1481.3
201,202,2025-04-11,Product_50,12,121.54,1458.48
202,203,2025-04-23,Product_3,17,84.02,1428.34
203,204,2025-03-22,Product_49,4,95.15,380.6
204,205,2025-07-06,Product_36,2,145.8,291.6
205,206,2025-04-23,Product_4,11,145.46,1600.06
206,207,2025-01-02,Product_14,7,196.8,1377.6
207,208,2025-05-10,Product_41,2,34.87,69.74
208,209,2025-08-08,Product_41,18,34.21,615.78
209,210,2025-02-23,Product_25,4,208.94,835.76
210,211,2025-12-09,Product_50,8,137.96,1103.68
211,212,2025-08-12,Product_10,20,70.44,1408.8
212,213,2025-08-13,Product_21,14,33.62,470.68
213,214,2025-05-06,Product_36,12,153.44,1841.28
214,215,2025-05-10,Product_12,18,110.38,1986.84
215,216,2025-02-22,Product_27,11,118.6,1304.6
216,217,2025-06-21,Product_40,8,45.89,367.12
217,218,2025-08-06,Product_2,2,204.94,409.88
218,219,2025-06-09,Product_13,15,14.5,217.5
219,220,2025-07-17,Product_32,9,53.4,480.6
220,221,2025-09-04,Product_31,19,193.98,3685.62
221,222,2025-11-20,Product_16,20,109.93,2198.6
222,223,2025-07-22,Product_32,8,48.28,386.24
223,224,2025-07-03,Product_32,19,50.57,960.83
224,225,2025-05-03,Product_34,5,175.2,876.0
225,226,2025-09-12,Product_11,11,111.5,1226.5
226,227,2025-10-21,Product_10,15,74.68,1120.2
227,228,2025-10-07,Product_15,8,153.52,1228.16
228,229,2025-11-21,Product_17,19,180.03,3420.57
229,230,2025-04-08,Product_40,8,49.16,393.28
230,231,2025-07-17,Product_18,19,98.84,1877.96
231,232,2025-08-28,Product_9,18,47.88,861.84
232,233,2025-05-24,Product_25,10,178.11,1781.1
233,234,2025-04-07,Product_40,7,48.41,338.87
234,235,2025-07-20,Product_14,9,172.71,1554.39
235,236,2025-05-04,Product_25,1,207.65,207.65
236,237,2025-07-06,Product_50,19,121.76,2313.44
237,238,2025-11-22,Product_22,5,153.4,767.0
238,239,2025-12-15,Product_30,19,88.07,1673.33
239,240,2025-09-16,Product_20,1,117.75,117.75
240,241,2025-05-28,Product_21,15,29.6,444.0
241,242,2025-09-09,Product_44,16,98.76,1580.16
242,243,2025-12-12,Product_32,7,47.04,329.28
243,244,2025-05-27,Product_46,12,80.88,970.56
244,245,2025-05-28,Product_49,8,82.71,661.68
245,246,2025-12-18,Product_21,5,32.54,162.7
246,247,2025-07-18,Product_35,10,140.6,1406.0
247,248,2025-11-04,Product_32,5,47.16,235.8
248,249,2025-05-08,Product_30,17,93.26,1585.42
249,250,2025-02-08,Product_39,5,171.36,856.8
250,251,2025-12-04,Product_49,15,85.28,1279.2
251,252,2025-12-26,Product_12,13,114.61,1489.93
252,253,2025-05-09,Product_41,1,37.46,37.46
253,254,2025-09-24,Product_47,11,95.29,1048.19
254,255,2025-05-31,Product_18,1,100.87,100.87
255,256,2025-10-25,Product_21,11,33.47,368.17
256,257,2025-04-09,Product_13,18,13.0,234.0
257,258,2025-09-20,Product_21,18,34.8,626.4
258,259,2025-09-09,Product_8,16,146.18,2338.88
259,260,2025-05-24,Product_46,13,79.89,1038.57
260,261,2025-12-12,Product_40,7,51.86,363.02
261,262,2025-04-22,Product_46,1,90.46,90.46
262,263,2025-03-01,Product_7,16,90.32,1445.12
263,264,2025-01-02,Product_23,1,129.43,129.43
