,Transaction_ID,Date,Product,Quantity,Price,Total_Sales
0,1,2025-04-13,Product_1,8,96.45,771.62
1,2,2025-12-15,Product_46,16,74.75,1196.06
2,3,2025-09-28,Product_16,17,88.29,1500.93
3,4,2025-04-17,Product_46,19,71.02,1349.36
4,5,2025-03-13,Product_3,15,79.59,1193.8
5,6,2025-07-08,Product_35,16,125.52,2008.37
6,7,2025-01-21,Product_41,15,32.28,484.24
7,8,2025-04-13,Product_6,2,133.81,267.62
8,9,2025-05-02,Product_25,11,173.26,1905.85
9,10,2025-08-03,Product_13,1,14.02,14.02
10,11,2025-11-27,Product_34,15,158.17,2372.49
11,12,2025-03-29,Product_8,19,138.23,2626.39
12,13,2025-04-10,Product_21,4,31.34,125.35
13,14,2025-12-26,Product_34,11,151.17,1662.9
14,15,2025-06-01,Product_4,5,150.12,750.6
15,16,2025-05-11,Product_25,3,156.0,467.99
16,17,2025-05-30,Product_15,13,126.75,1647.71
17,18,2025-11-05,Product_4,10,126.05,1260.54
18,19,2025-09-15,Product_45,11,156.17,1717.85
19,20,2025-12-10,Product_12,18,109.73,1975.1
20,21,2025-10-21,Product_32,2,48.89,97.78
21,22,2025-07-11,Product_32,7,45.76,320.36
22,23,2025-10-04,Product_28,9,151.54,1363.88
23,24,2025-06-10,Product_13,10,11.62,116.19
24,25,2025-11-10,Product_31,18,155.63,2801.3
25,26,2025-01-22,Product_14,7,185.26,1296.86
26,27,2025-09-10,Product_20,7,94.27,659.86
27,28,2025-08-24,Product_18,3,89.66,268.97
28,29,2025-12-11,Product_29,12,132.62,1591.49
29,30,2025-02-18,Product_6,7,121.93,853.52
30,31,2025-02-28,Product_32,17,48.19,819.16
31,32,2025-06-19,Product_29,1,114.08,114.08
32,33,2025-07-07,Product_43,5,91.98,459.9
33,34,2025-09-28,Product_2,16,161.61,2585.81
34,35,2025-07-09,Product_23,15,127.12,1906.74
35,36,2025-06-24,Product_19,2,174.04,348.08
